FileName_OrigDNA,FileName_OrigDen,FileName_OrigPuncta,Group_Index,Group_Number,Metadata_Plate,Metadata_Site,Metadata_Well,Metadata_WellCol,Metadata_WellRow,PathName_OrigDNA,PathName_OrigDen,PathName_OrigPuncta
B - 8(fld 2 wv D360_40X - HQ535_50M).tif,B - 8(fld 2 wv S475_20X - HQ535_50M).tif,B - 8(fld 2 wv HQ620_60X - HQ700_75M).tif,11,1,2009.11.03.00.00.00,2,B8,8,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
B - 8(fld 3 wv D360_40X - HQ535_50M).tif,B - 8(fld 3 wv S475_20X - HQ535_50M).tif,B - 8(fld 3 wv HQ620_60X - HQ700_75M).tif,12,1,2009.11.03.00.00.00,3,B8,8,B,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 5(fld 1 wv D360_40X - HQ535_50M).tif,C - 5(fld 1 wv S475_20X - HQ535_50M).tif,C - 5(fld 1 wv HQ620_60X - HQ700_75M).tif,13,1,2009.11.03.00.00.00,1,C5,5,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 5(fld 2 wv D360_40X - HQ535_50M).tif,C - 5(fld 2 wv S475_20X - HQ535_50M).tif,C - 5(fld 2 wv HQ620_60X - HQ700_75M).tif,14,1,2009.11.03.00.00.00,2,C5,5,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 5(fld 3 wv D360_40X - HQ535_50M).tif,C - 5(fld 3 wv S475_20X - HQ535_50M).tif,C - 5(fld 3 wv HQ620_60X - HQ700_75M).tif,15,1,2009.11.03.00.00.00,3,C5,5,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 6(fld 1 wv D360_40X - HQ535_50M).tif,C - 6(fld 1 wv S475_20X - HQ535_50M).tif,C - 6(fld 1 wv HQ620_60X - HQ700_75M).tif,16,1,2009.11.03.00.00.00,1,C6,6,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 6(fld 2 wv D360_40X - HQ535_50M).tif,C - 6(fld 2 wv S475_20X - HQ535_50M).tif,C - 6(fld 2 wv HQ620_60X - HQ700_75M).tif,17,1,2009.11.03.00.00.00,2,C6,6,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 6(fld 3 wv D360_40X - HQ535_50M).tif,C - 6(fld 3 wv S475_20X - HQ535_50M).tif,C - 6(fld 3 wv HQ620_60X - HQ700_75M).tif,18,1,2009.11.03.00.00.00,3,C6,6,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 7(fld 1 wv D360_40X - HQ535_50M).tif,C - 7(fld 1 wv S475_20X - HQ535_50M).tif,C - 7(fld 1 wv HQ620_60X - HQ700_75M).tif,19,1,2009.11.03.00.00.00,1,C7,7,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 7(fld 2 wv D360_40X - HQ535_50M).tif,C - 7(fld 2 wv S475_20X - HQ535_50M).tif,C - 7(fld 2 wv HQ620_60X - HQ700_75M).tif,20,1,2009.11.03.00.00.00,2,C7,7,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 7(fld 3 wv D360_40X - HQ535_50M).tif,C - 7(fld 3 wv S475_20X - HQ535_50M).tif,C - 7(fld 3 wv HQ620_60X - HQ700_75M).tif,21,1,2009.11.03.00.00.00,3,C7,7,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 8(fld 1 wv D360_40X - HQ535_50M).tif,C - 8(fld 1 wv S475_20X - HQ535_50M).tif,C - 8(fld 1 wv HQ620_60X - HQ700_75M).tif,22,1,2009.11.03.00.00.00,1,C8,8,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 8(fld 2 wv D360_40X - HQ535_50M).tif,C - 8(fld 2 wv S475_20X - HQ535_50M).tif,C - 8(fld 2 wv HQ620_60X - HQ700_75M).tif,23,1,2009.11.03.00.00.00,2,C8,8,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
C - 8(fld 3 wv D360_40X - HQ535_50M).tif,C - 8(fld 3 wv S475_20X - HQ535_50M).tif,C - 8(fld 3 wv HQ620_60X - HQ700_75M).tif,24,1,2009.11.03.00.00.00,3,C8,8,C,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 5(fld 1 wv D360_40X - HQ535_50M).tif,D - 5(fld 1 wv S475_20X - HQ535_50M).tif,D - 5(fld 1 wv HQ620_60X - HQ700_75M).tif,25,1,2009.11.03.00.00.00,1,D5,5,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 5(fld 2 wv D360_40X - HQ535_50M).tif,D - 5(fld 2 wv S475_20X - HQ535_50M).tif,D - 5(fld 2 wv HQ620_60X - HQ700_75M).tif,26,1,2009.11.03.00.00.00,2,D5,5,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 5(fld 3 wv D360_40X - HQ535_50M).tif,D - 5(fld 3 wv S475_20X - HQ535_50M).tif,D - 5(fld 3 wv HQ620_60X - HQ700_75M).tif,27,1,2009.11.03.00.00.00,3,D5,5,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 6(fld 1 wv D360_40X - HQ535_50M).tif,D - 6(fld 1 wv S475_20X - HQ535_50M).tif,D - 6(fld 1 wv HQ620_60X - HQ700_75M).tif,28,1,2009.11.03.00.00.00,1,D6,6,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 6(fld 2 wv D360_40X - HQ535_50M).tif,D - 6(fld 2 wv S475_20X - HQ535_50M).tif,D - 6(fld 2 wv HQ620_60X - HQ700_75M).tif,29,1,2009.11.03.00.00.00,2,D6,6,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 6(fld 3 wv D360_40X - HQ535_50M).tif,D - 6(fld 3 wv S475_20X - HQ535_50M).tif,D - 6(fld 3 wv HQ620_60X - HQ700_75M).tif,30,1,2009.11.03.00.00.00,3,D6,6,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 7(fld 1 wv D360_40X - HQ535_50M).tif,D - 7(fld 1 wv S475_20X - HQ535_50M).tif,D - 7(fld 1 wv HQ620_60X - HQ700_75M).tif,31,1,2009.11.03.00.00.00,1,D7,7,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 7(fld 2 wv D360_40X - HQ535_50M).tif,D - 7(fld 2 wv S475_20X - HQ535_50M).tif,D - 7(fld 2 wv HQ620_60X - HQ700_75M).tif,32,1,2009.11.03.00.00.00,2,D7,7,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 7(fld 3 wv D360_40X - HQ535_50M).tif,D - 7(fld 3 wv S475_20X - HQ535_50M).tif,D - 7(fld 3 wv HQ620_60X - HQ700_75M).tif,33,1,2009.11.03.00.00.00,3,D7,7,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 8(fld 1 wv D360_40X - HQ535_50M).tif,D - 8(fld 1 wv S475_20X - HQ535_50M).tif,D - 8(fld 1 wv HQ620_60X - HQ700_75M).tif,34,1,2009.11.03.00.00.00,1,D8,8,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 8(fld 2 wv D360_40X - HQ535_50M).tif,D - 8(fld 2 wv S475_20X - HQ535_50M).tif,D - 8(fld 2 wv HQ620_60X - HQ700_75M).tif,35,1,2009.11.03.00.00.00,2,D8,8,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
D - 8(fld 3 wv D360_40X - HQ535_50M).tif,D - 8(fld 3 wv S475_20X - HQ535_50M).tif,D - 8(fld 3 wv HQ620_60X - HQ700_75M).tif,36,1,2009.11.03.00.00.00,3,D8,8,D,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
E - 5(fld 1 wv D360_40X - HQ535_50M).tif,E - 5(fld 1 wv S475_20X - HQ535_50M).tif,E - 5(fld 1 wv HQ620_60X - HQ700_75M).tif,37,1,2009.11.03.00.00.00,1,E5,5,E,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
E - 5(fld 2 wv D360_40X - HQ535_50M).tif,E - 5(fld 2 wv S475_20X - HQ535_50M).tif,E - 5(fld 2 wv HQ620_60X - HQ700_75M).tif,38,1,2009.11.03.00.00.00,2,E5,5,E,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00,Y:\2010_08_06_Synapse_FragileX_AshaBhakar_BearLab_MIT\images\Subfolders\images_10_plates_pipeline2_GluR_symlinks\2009.11.03.00.00.00
